ID,WORD,CREATE_TIME,CATEGORY,TYPE,VISIBLE,IS_REGEX,STRICT_MATCHER
1705557,(费|欠费).*(年|充值|元|奖品).*(支|收|低于).*(提示|建议|诱惑),2017/4/7 16:35:59,,3,1,1,0
1705558,(售|转|购|车).*(本田|奥迪|二手|各种).*(送|免费|上门|优惠),2017/4/7 16:35:59,,3,1,1,0
1705570,(声援).*(控告).*(法轮功),2017/4/7 16:35:59,,3,1,1,0
1665143,(黑车).*(提供).*(来电),2017/3/24 09:35:09,,2,1,1,0
1705562,(房东|外地|爱人).*(房租|钱).*(打|汇|转).*(622),2017/4/7 16:35:59,,3,1,1,0
1705563,(發|发|开|開|fa票).*(嘌|剽|缥|瞟),2017/4/7 16:35:59,,3,1,1,0
1705564,(QQ).*(包过).*(成考),2017/4/7 16:35:59,,3,1,1,0
1705565,(通知|款|终止).*(保障|补贴|使用|成功).*(社保|包裹|领|邮).*(销|询|办理|详|联系),2017/4/7 16:35:59,,3,1,1,0
1705566,(登录|签收).*(二等奖|手提).*(公益节目|湖南卫视|禾丰|苏家屯).*(抽奖|万元),2017/4/7 16:35:59,,3,1,1,0
1705567,(内容|讯息).*(想接听|感兴趣).*(询|电|详情),2017/4/7 16:35:59,,3,1,1,0
1705568,(号码).*(制作|短信).*(提示|提醒),2017/4/7 16:35:59,,3,1,1,0
1705569,(询|送出|回收).*(二手|专业|车|提供).*(售|旧|购|赢),2017/4/7 16:35:59,,3,1,1,0
1705571,(代办|各|正规).*(建筑|税|餐饮).*(保留|电话|票),2017/4/7 16:35:59,,3,1,1,0
1705572,(qq|联系|内容|一样|制作).*(电|通话|咔|号码).*(了解|提供|听|知道|做),2017/4/7 16:35:59,,3,1,1,0
1705573,(0|18|15|13|14).*(上门服务|少妇|模特|学生妹).*(欧美|俄|日韩|法|美女),2017/4/7 16:35:59,,3,1,1,0
1705574,(增|代理|曾|登陆|起拍).*(18|15|电|13).*(发票|嘌|利|漂|税),2017/4/7 16:35:59,,3,1,1,0
1705575,(章|文凭|学历|高仿|仿真).*(制|开|代理).*(13|14|15|18),2017/4/7 16:35:59,,3,1,1,0
1705576,(打到).*(建行|浦发|中信|兴业|光大),2017/4/7 16:35:59,,3,1,1,0
1705577,(营|春晚|歌手|星光|注冊).*(笔记本|奖金|元).*(WWW|www|COM|com|码),2017/4/7 16:35:59,,3,1,1,0
1705578,(中国好声音).*(创业金).*(幸运达人).*(电脑本),2017/4/7 16:35:59,,3,1,1,0
1705579,(代办|保真|如需|电话|联系).*(公司|各地区|各行|税点低).*(发票|报账|票据|税票)&(13|14|15|18),2017/4/7 16:35:59,,3,1,1,0
1705580,(了解|专业|提供|对方|听).*(信息).*(帮|联系|通|制),2017/4/7 16:35:59,,3,1,1,0
1705581,(优惠).*(普通票).*(点数).*(行业),2017/4/7 16:35:59,,3,1,1,0
1705582,(彩票).*(投注).*(葡京),2017/4/7 16:35:59,,3,1,1,0
1705583,(本田|奥迪|宝马|保时捷|首付).*(送|电|联).*(13|15|18),2017/4/7 16:35:59,,3,1,1,0
1705584,(汇|办|转|打).*(磁条|消磁|挂失).*(通知|信息),2017/4/7 16:35:59,,3,1,1,0
1705585,(13|14|15|18).*(代理|供|获|刻|制).*(师|职称|专|资格),2017/4/7 16:35:59,,3,1,1,0
1705586,(一张|一样|帮你|一樣|解密).*(对方|收到|電|卡|咔).*(13|15|18|信|詢),2017/4/7 16:35:59,,3,1,1,0
1705587,(15|18|13|14|17).*(发票|税|shui|余僄).*(办理|代开),2017/4/7 16:35:59,,3,1,1,0
1705588,(司|如需|代理|优惠).*(发|FA|Fa|fa|發).*(票|漂|剽|piao).*(13|15|18|联系),2017/4/7 16:35:59,,3,1,1,0
1705589,(兼职).*(尚门).*(服务).*(美女),2017/4/7 16:35:59,,3,1,1,0
1705590,(路虎|雅阁|霸道|奔驰|迪).*(外地可送|欲购从速|满意付款|见车付款|订车可送),2017/4/7 16:35:59,,3,1,1,0
1705591,(18|15|13|14).*(免费|群发|发送|费用).*(基站|短信|设备).*(区域|小区|圈地|车载|承接),2017/4/7 16:35:59,,3,1,1,0
1705592,(制服诱惑).*(口爆).*(特服),2017/4/7 16:35:59,,3,1,1,0
1705593,(二等奖|获奖用户).*(奖金).*(登陆).*(笔记本|选为),2017/4/7 16:35:59,,3,1,1,0
